upc,product_description,commodity,brand,product_size
7067000739,DA VINCI FETTUCCINE NESTS,pasta,DaVinci,16 OZ
7067000728,DA VINCI FUSILLI SPRINGS,pasta,DaVinci,1 LB
7067000730,DA VINCI GNOCCHI,pasta,DaVinci,16 OZ
7067000877,DA VINCI ITL ORG BOWTIES,pasta,DaVinci,1 LB
7067000875,DA VINCI ITL ORG PENNE,pasta,DaVinci,1 LB
7067000742,DA VINCI JUMBO SHELLS,pasta,DaVinci,P    12 OZ
7067000721,DA VINCI LASAGNA 16 OZ,pasta,DaVinci,KH# 6862
7067000723,DA VINCI LINGUINE,pasta,DaVinci,16 OZ
7067000727,DA VINCI RIGATONI,pasta,DaVinci,P    16 OZ
7067000733,DA VINCI ROSE MARIA ORZO,pasta,DaVinci,1 LB
7067000732,DA VINCI ROTELLE WAGON WH,pasta,DaVinci,16 OZ
7067000741,DA VINCI ROTINI,pasta,DaVinci,1 LB
7067000725,DA VINCI SPAG/VERMICELLI,pasta,DaVinci,1 LB
7067000751,DAVINCI ANGEL HAIR NESTS,pasta,DaVinci,1 LB
7067000731,DAVINCI CONCHI SEA SHELLS,pasta,DaVinci,16 OZ
7067000740,DAVINCI CUT ZITI,pasta,DaVinci,16 OZ
7067000697,DAVINCI FUSILE TRI COLOR,pasta,DaVinci,16 OZ
7067000843,DAVINCI MULTCLR TORTELLIN,pasta,DaVinci,7    OZ
7067000871,DAVINCI ORG SPAGHETTI,pasta,DaVinci,16    OZ
7067000840,DAVINCI REGULR TORTELLINI,pasta,DaVinci,7    OZ
7067000729,DAVINCI RIGATE MOSTACO,pasta,DaVinci,16 OZ
7067000841,DAVINCI SPINCH TORTELLINI,pasta,DaVinci,7    OZ
7067000726,DAVINCI\PASTA SPAGHETTI,pasta,DaVinci,16 OZ
7914730169,DARIELLE ELBOWS PASTA,pasta,Darielle,12 OZ
7914730189,DARIELLE MEZZE PENNE PSTA,pasta,Darielle,12 OZ
7914730119,DARIELLE PENNE PASTA,pasta,Darielle,12 OZ
2409427034,DE CEC FUSILLI WHL WHEAT,pasta,Dececco,16 OZ
2409427041,DE CEC PENNE RGT WH WHEAT,pasta,Dececco,16 OZ
2409407024,DE CECCO PASTA RIGATONI,pasta,Dececco,1 LB
2409407054,DE CECCO ROTELLO WHEEL 54,pasta,Dececco,16 OZ
2409437034,DE CECCO SPINACH FUSILLI,pasta,Dececco,16 OZ
2409427012,DEC WHOLE WHEAT SPAGHETTI,pasta,Dececco,17 OZ
2409407009,DECECCO CAPELLINI    16OZ,pasta,Dececco,KH# 8652
2409407093,DECECCO FARFALLE BOW TIES,pasta,Dececco,16 OZ
2409407006,DECECCO FETTUCINI,pasta,Dececco,16 OZ
2409407034,DECECCO FUSILLI      16OZ,pasta,Dececco,KH# 13384
2409407007,DECECCO LINGUINE,pasta,Dececco,16 OZ
2409427007,DECECCO LINGUINI,pasta,Dececco,17.5 OZ
2409437041,DECECCO PASTA SPIN PEN RI,pasta,Dececco,16 OZ
2409407040,DECECCO PENNE REGATE 16OZ,pasta,Dececco,KH# 8525
2409407041,DECECCO PENNE RIGATE 16OZ,pasta,Dececco,KH# 8627
2409437007,DECECCO SINACH LINGUINE,pasta,Dececco,16 OZ
2409407012,DECECCO SPAGHETTI    16OZ,pasta,Dececco,KH# 8623
2409407011,DECECCO SPAGHETTINI  16OZ,pasta,Dececco,KH# 8651
2409437012,DECECCO SPINACH SPAGHETTI,pasta,Dececco,16 OZ
2409407118,DECECCO ZITA MACARONI,pasta,Dececco,16 OZ
8016301100,DEFINO NO BOIL LASAGNA,pasta,Defino,8 OZ
7546203820,DEL ALPE BASIL/GRLC LINQUINE,pasta,Dell Alpe,8 OZ
7546203832,DEL ALPE LEM PEP LINGUINE,pasta,Dell Alpe,8 OZ
6738703009,DREAMFIELD ELBOW MAC,pasta,Dreamfield,16 OZ
6738703055,DREAMFIELD LINGUINE,pasta,Dreamfield,16 OZ
6738703019,DREAMFIELD PENNE RIGATE,pasta,Dreamfield,16 OZ
6738703004,DREAMFIELD SPAGHETTI,pasta,Dreamfield,16 OZ
7518100817,EDD OG VEG ALPHABETS,pasta,Eddie,12 OZ
7140303210,FERRARA GNOCCHI W/POTATO,pasta,Ferrara,16 OZ
1140060206,GOOCH SOY ENRCH SPAGH,pasta,Gooch,16 OZ
1510002700,HEALTHY HARVEST ROTINI,pasta,Healthy Harvest,13.25 OZ
1510002702,HEALTHY HARVEST SPAHETTI,pasta,Healthy Harvest,13.25 OZ
1510002703,HEALTHY HARVEST THIN SPAG,pasta,Healthy Harvest,13.25 OZ
7151800017,*HODGE WHEAT LASAGNA,pasta,Hodgson Mills,8 OZ
7151800016,*HODGE WHEAT SPAGHETTI,pasta,Hodgson Mills,16 OZ
7151800023,H M WHL WHEAT FETTUCCINI,pasta,Hodgson Mills,P    12 OZ
7151800020,H M WHL WHT EGG NOODLES,pasta,Hodgson Mills,12 OZ
7151800018,H M WHL WHT ELBOW MACARONI,pasta,Hodgson Mills,16 OZ
7151800026,HOD MILL VEGGIE ROTINI,pasta,Hodgson Mills,N    16 OZ
7151800024,HODG MILL WHO WHT SPIRALS,pasta,Hodgson Mills,NO TAG
7151800025,HODGSON SEMO VEGGIE BO,pasta,Hodgson Mills,16.00  OZ
7151800022,HODGSON WW SPINACH SPA,pasta,Hodgson Mills,16 OZ
2100007212,KRFT DLX OTG W/MARNRA SCE,pasta,Kraft,6.75 OZ
2100007213,VELVEETA O-T-G SHLL W/CHS,pasta,Kraft,6.75 OZ
2800069180,MAGGI SPAETZLE IMPORT,pasta,Maggi Spaetzle,10 OZ
2810003300,MOTHERS FINE EGG NOODLES,pasta,Mother's,10 OZ
2810003301,MOTHERS MEDM EGG NOODLES,pasta,Mother's,10 OZ
2810003304,MOTHERS NO YLK WD EGG NOD,pasta,Mother's,10 OZ
2810003302,MOTHERS WIDE EGG NOODLES,pasta,Mother's,10 OZ
7209800100,M WEISS X-FINE NOODLES,pasta,Mrs Weiss,10 OZ
7209800200,MRS WEISS KLUSKI NOODLES,pasta,Mrs Weiss,8 OUNCE
7209800102,WEISS W NOODLES 9297,pasta,Mrs Weiss,10 OZ
2920000206,MUELLER ANGEL HAIR PASTA,pasta,Mueller,16 OZ
2920000421,MUELLER ELBO MACARO,pasta,Mueller,3LB
2920000350,MUELLER ELBO MACARONI,pasta,Mueller,32 OZ
2920000213,MUELLER ELBOW MACARONI,pasta,Mueller,16 OZ
2920000205,MUELLER FETTUCCINE PASTA,pasta,Mueller,16 OZ
2920000301,MUELLER LASAGNE,pasta,Mueller,1 LB
4732530205,MUELLER MINI PENNE,pasta,Mueller,16 OZ
2920000703,MUELLER O/F EGG NDL WIDE,pasta,Mueller,8 OZ
4732500750,MUELLER R/C ELBOWS,pasta,Mueller,12 OZ
4732500754,MUELLER R/C LASAGNA,pasta,Mueller,12 OZ
4732500751,MUELLER R/C PENNE RIGATE,pasta,Mueller,12 OZ
4732500752,MUELLER R/C ROTINI,pasta,Mueller,12 OZ
4732500753,MUELLER R/C SPAGHETTI,pasta,Mueller,12 OZ
2920000352,MUELLER REG SPAGHETTI,pasta,Mueller,2 LB
2920000212,MUELLER SPAGHETTI,pasta,Mueller,1 LB
2920000214,MUELLER THIN SPAGHETI,pasta,Mueller,16 OZ
2920000351,MUELLER THIN SPAGHETTI,pasta,Mueller,32 OZ
2920000218,MUELLER VERMICELLI,pasta,Mueller,1 LB
2920000216,MUELLERS READY CUT,pasta,Mueller,16 OZ
2920000217,MUELLERS ROTINI TWISTS,pasta,Mueller,16 OZ
2920000215,MUELLERS SEA SHELL,pasta,Mueller,16 OZ
2920000153,MUELLERS TRI COLOR TWISTS,pasta,Mueller,12 OZ
7173000716,NO YOLKS BROAD EGG NOODLE,pasta,No Yolks,12 OZ
7173000728,NO YOLKS BROAD EGG NOODLE,pasta,No Yolks,6 OZ
7173000729,NO YOLKS DMPLNGS EGG NDLS,pasta,No Yolks,6 OZ
7173000720,NO YOLKS DUMPLINGS NOODLE,pasta,No Yolks,12 OZ
7173000715,NO YOLKS EXTRA BROAD NOOD,pasta,No Yolks,12 OZ
7173000731,NO YOLKS FINE EGG NOODLES,pasta,No Yolks,6 OZ
7173000722,NO YOLKS X BRD EGG NOODLE,pasta,No Yolks,6 OZ
7065070053,NOTTA PASTA FETTUCCINE,pasta,Notta,P     1 LB
7065070052,NOTTA PASTA LINGUINE,pasta,Notta,1 LB
6806202137,ORZO ITALPASTA,pasta,Orzo,2 LB
4017367016,P S GNGRBREAD MAN PASTA,pasta,Pasta Shoppe,10OZ
4017367017,P S SNOWMAN PASTA,pasta,Pasta Shoppe,10OZ
4017367008,PASTA SHOP HALLOWEEN PSTA,pasta,Pasta Shoppe,10OZ
4017367029,PASTA SHOP TAILGATE PASTA,pasta,Pasta Shoppe,10OZ
4017367005,PASTA SHOPPE SANTA PASTA,pasta,Pasta Shoppe,10OZ
4017367004,PASTA SHP XMAS TREE PASTA,pasta,Pasta Shoppe,10OZ
4017367041,PSTA SHP APPL ORCHRD PSTA,pasta,Pasta Shoppe,10OZ
4017367015,PSTA SHP FALL HRVST PASTA,pasta,Pasta Shoppe,10OZ
1510002582,PEN DTCH KLUSKI EGG NDLES,pasta,Pennsylvania Dutch,12 OZ
9999985217,PRIVATE LABEL ALPHABETS,pasta,Private Label,16 OZ
9999985068,PRIVATE LABEL ANGEL HAIR PASTA,pasta,Private Label,16 OZ
9999985165,PRIVATE LABEL BOWTIES,pasta,Private Label,12 OZ
9999985021,PRIVATE LABEL ELBO MACARONI,pasta,Private Label,16 OZ
9999985002,PRIVATE LABEL ELBOW MACARONI,pasta,Private Label,8 OZ
9999985052,PRIVATE LABEL ELBOW MACARONI,pasta,Private Label,32 OZ
9999985061,PRIVATE LABEL ELBOW MACARONI,pasta,Private Label,48 OZ
9999985126,PRIVATE LABEL EXTRA WIDE NOODLES,pasta,Private Label,16 OZ
9999985029,PRIVATE LABEL FETTUCCINI,pasta,Private Label,12 OZ
9999985215,PRIVATE LABEL GEMELLI,pasta,Private Label,16 OZ
9999985027,PRIVATE LABEL LASAGNA PASTA,pasta,Private Label,16 OZ
9999985134,PRIVATE LABEL LINGUINE,pasta,Private Label,16 OZ
9999985128,PRIVATE LABEL MEDIUM NOODLES,pasta,Private Label,16 OZ
9999985033,PRIVATE LABEL PENNE RIGATE,pasta,Private Label,16 OZ
9999985072,PRIVATE LABEL RAINBOW SALAD TWIRLS BAG,pasta,Private Label,12 OZ
9999985028,PRIVATE LABEL RIGATONI,pasta,Private Label,16 OZ
9999985071,PRIVATE LABEL SALAD ROTINI BAG,pasta,Private Label,16 OZ
9999985070,PRIVATE LABEL SALAD SHELLS,pasta,Private Label,16 OZ
9999985133,PRIVATE LABEL SPAGHETTI,pasta,Private Label,8 OZ
9999985004,PRIVATE LABEL SPAGHETTI REGULAR,pasta,Private Label,16 OZ
9999985005,PRIVATE LABEL SPAGHETTI REGULAR,pasta,Private Label,32OZ
9999985006,PRIVATE LABEL SPAGHETTI REGULAR,pasta,Private Label,48 OZ
9999985051,PRIVATE LABEL SPAGHETTI THIN,pasta,Private Label,32OZ
9999985001,PRIVATE LABEL THIN SPAGHETTI,pasta,Private Label,N     7 OZ
9999985020,PRIVATE LABEL THIN SPAGHETTI,pasta,Private Label,16 OZ
9999985060,PRIVATE LABEL THIN SPAGHETTI,pasta,Private Label,48 OZ
9999985067,PRIVATE LABEL VERMICELLI,pasta,Private Label,16 OZ
9999985127,PRIVATE LABEL WIDE EGG NOODLES,pasta,Private Label,16 OZ
9999985132,PRIVATE LABEL YOLK FREE NOODLES,pasta,Private Label,12 OZ
9999985066,PRIVATE LABEL ACINI DE PEPE SOUP CUT,pasta,Private Label Premium,16 OZ
9999985039,PRIVATE LABEL BUCATINI PERCIATELLI,pasta,Private Label Premium,16 OZ
9999985054,PRIVATE LABEL CAMPANELLE,pasta,Private Label Premium,16 OZ
9999985031,PRIVATE LABEL CAPELLINI ANGEL HAIR,pasta,Private Label Premium,16 OZ
9999985056,PRIVATE LABEL CAVATAPPI PASTA,pasta,Private Label Premium,16 OZ
9999985053,PRIVATE LABEL CONCHIGLIE RIGATE SHL,pasta,Private Label Premium,16 OZ
9999985058,PRIVATE LABEL DITALLINI MACARONI,pasta,Private Label Premium,16 OZ
9999985048,PRIVATE LABEL FARFALLE BOWTIES,pasta,Private Label Premium,16 OZ
9999985038,PRIVATE LABEL FETTUCCINE SPAGHETI,pasta,Private Label Premium,16 OZ
9999985050,PRIVATE LABEL FUSILLI-ROTINI-SPRL,pasta,Private Label Premium,16 OZ
9999985040,PRIVATE LABEL GEMELLI MACARONI,pasta,Private Label Premium,16 OZ
9999985131,PRIVATE LABEL IMPORTED LASAGNA,pasta,Private Label Premium,16 OZ
9999985488,PRIVATE LABEL ITAL NESTED ANGEL HAIR,pasta,Private Label Premium,16 OZ
9999985137,PRIVATE LABEL ITALIAN MANICOTTI,pasta,Private Label Premium,8.8 OZ
9999985766,PRIVATE LABEL ITALIAN TRI COLORE CRE,pasta,Private Label Premium,16 OZ
9999985003,PRIVATE LABEL LEMON PEPPER PENNE RIG,pasta,Private Label Premium,12 OZ
9999985032,PRIVATE LABEL LINGUINE SPAGHETTI,pasta,Private Label Premium,16 OZ
9999985045,PRIVATE LABEL ORECCHIETTE MACARON,pasta,Private Label Premium,16 OZ
9999985093,PRIVATE LABEL ORZO MACARONI,pasta,Private Label Premium,16 OZ
9999985046,PRIVATE LABEL PENNE LISCE MOSTACCIO,pasta,Private Label Premium,16 OZ
9999985047,PRIVATE LABEL PENNE RIGATE,pasta,Private Label Premium,16 OZ
9999985049,PRIVATE LABEL RIGATONI(MANICHE R),pasta,Private Label Premium,16 OZ
9999985130,PRIVATE LABEL RST GARLIC & HERB THIN,pasta,Private Label Premium,12 OZ
9999985036,PRIVATE LABEL SPAGHETTI PASTA,pasta,Private Label Premium,16 OZ
9999985037,PRIVATE LABEL SPAGHETTINIPASTA,pasta,Private Label Premium,16 OZ
9999985059,PRIVATE LABEL STARS MACARONI,pasta,Private Label Premium,16 OZ
9999985055,PRIVATE LABEL TORTIGLIONI PSTA,pasta,Private Label Premium,16 OZ
9999908441,PRIVATE LABEL ELBOW MACARONI,pasta,Private Label Value,4 LB
9999981173,PRIVATE LABEL ELBOW MACARONI,pasta,Private Label Value,4 LB
9999908446,PRIVATE LABEL SPAGHETTI,pasta,Private Label Value,4 LB
9999981174,PRIVATE LABEL SPAGHETTI,pasta,Private Label Value,4 LB
9999981175,PRIVATE LABEL X WIDE EGG NOODLES,pasta,Private Label Value,1 LB
8912527000,QUINOA W/F PASTA SHELL 8Z,pasta,Quinoa,KH# 39724
7171000159,R&F CURLY LASAGNA,pasta,R&F,16 OZ
7171000670,R&F KLUSKI NOODLES,pasta,R&F,12 OUNCE
7171000138,R&F MOSTACCIOLI PASTA,pasta,R&F,16 OZ
7171000177,RF MANICOTTI,pasta,R&F,8 OZ
4747900035,RAOS PASTA FUSILLI,pasta,Raos,17 OZ
4747900027,RAOS PASTA LINGUINE,pasta,Raos,17 OZ
4747900029,RAOS PASTA PENNE RIGATE,pasta,Raos,17 OZ
4747900034,RAOS PASTA RIGATONI,pasta,Raos,17.6 OZ
4747900026,RAOS PASTA SPAGHETTI,pasta,Raos,17 OZ
4747900037,RAOS PASTA STROZZAPPRETI,pasta,Raos,17 OZ
4747900038,RAOS PASTA TRI-CLR FARFLL,pasta,Raos,17 OZ
7130030010,RONZONI 3 CHS TORTELLINI,pasta,Ronzoni,8.8 OZ
7130000020,RONZONI ANGEL HAIR PASTA,pasta,Ronzoni,16 OZ
7130000066,RONZONI BOW TIES,pasta,Ronzoni,CR   16 OZ
7130000011,RONZONI CAPELLINI,pasta,Ronzoni,SO   16 OZ
7130030013,RONZONI CHS/GRLC TORTELLI,pasta,Ronzoni,8.8 OZ
7130000080,RONZONI CURLY LASAGNE NO,pasta,Ronzoni,1 LB
7130000002,RONZONI CUT ZITI,pasta,Ronzoni,16 OZ
7130000036,RONZONI CVTPPI ELBW TWIST,pasta,Ronzoni,16 OZ
7130000035,RONZONI ELBOW MACARONI,pasta,Ronzoni,16 OZ
7130000135,RONZONI FETTUCCINE FLORENTINE,pasta,Ronzoni,12 OZ
7130000126,RONZONI GERMELLI,pasta,Ronzoni,16 OZ
3340006508,RONZONI HH XWIDE NOODLE,pasta,Ronzoni,12 OZ
7130000017,RONZONI LINGUINE NO 17,pasta,Ronzoni,1 LB
7130000022,RONZONI MEDIUM SHELLS,pasta,Ronzoni,16 OZ
7130000086,RONZONI MOSTACCIOLI RGATI,pasta,Ronzoni,16 OZ
7130000047,RONZONI ORZO NO 47,pasta,Ronzoni,1 LB
7130000076,RONZONI PENNE RIGATE,pasta,Ronzoni,16 OZ
7130030011,RONZONI RICOTTA/SPIN TORT,pasta,Ronzoni,8.8 OZ
7130000124,RONZONI ROTELLE,pasta,Ronzoni,16 OZ
7130000075,RONZONI ROTINI,pasta,Ronzoni,16 OZ
7130000008,RONZONI SPAGHETTI #8,pasta,Ronzoni,16 OZ
7130000063,RONZONI TRI COLOR ROTINI,pasta,Ronzoni,12 OZ
7130000010,RONZONI VERMICELLI #10,pasta,Ronzoni,16 OZ
7130000001,RONZONI ZITI RIGATI,pasta,Ronzoni,16 OZ
7130000081,RONZONI\OVEN RDY LASAGNE,pasta,Ronzoni,8 OZ
7130000027,RONZONI\RIGATONI NOODLES,pasta,Ronzoni,16 OZ
7130000136,RONZONI\ROASTED GAR FETT,pasta,Ronzoni,12 OZ
7130000009,RONZONI\THIN SPAG NOODLES,pasta,Ronzoni,16 OZ
3340061125,LGHT N FLFY MACARONI DUMP,pasta,San Giorgio,12 OZ
3340061283,LGT N FLUFFY WIDE EGG NDL,pasta,San Giorgio,12 OZ
3340061280,LGT N FLUFFY XWIDE EGG ND,pasta,San Giorgio,12 OZ
3340061127,LIGHT N FLUFFY RAINBOW TW,pasta,San Giorgio,12 OZ
3340061126,LIGHT N FLUFFY RIPPLETS,pasta,San Giorgio,12 OZ
3340060983,LIGHT N FLUFFY WIDE NOODLES,pasta,San Giorgio,8 OZ
3340060980,LIGHT N FLUFFY X-WIDE NOODLES,pasta,San Giorgio,8 OZ
3340060708,SAN GIORGI SPAGHETTI,pasta,San Giorgio,7 OZ
3340060709,SAN GIORGI THIN SPAGHETTI,pasta,San Giorgio,7 OZ
3340060751,SAN GIORGIO SHELLS,pasta,San Giorgio,7 OZ
3340060110,SAN GIORGIO VERMICELI,pasta,San Giorgio,P    16 OZ
3340061147,SAN GRGO ALPHABETS,pasta,San Giorgio,12 OZ
3340060128,SAN GRGO CUT ZITE,pasta,San Giorgio,16 OZ
3340060135,SAN GRGO ELBOW MACARONI,pasta,San Giorgio,16 OZ
3340061193,SAN GRGO FETTUCCINI FLORENTINE,pasta,San Giorgio,12 OZ
